name,id,team,position_id,points_round_1,points_round_2,price_round_1,price_round_2,Man of the match,num_matches,Tackles,Dominant tackles,Line-breaks,Metres carried,Kick 50-22,Lineout steal,Breakdown steal,Try,Assists,Conversion,Penalty,Drop goal,Yellow cards,Red cards ,position,played_round_1,points_to_price_round_1,played_round_2,points_to_price_round_2,latest_price,total_points_to_latest_price_ratio,points_all_rounds,total_points_all_rounds,points_per_round_all_rounds
Huw Jones,82,Scotland,7,51.0,46.4,12.5,13.1,0.0,2.0,22.0,1.0,2.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,True,4.08,True,3.5419847328244276,13.1,3.7175572519083975,97.4,97.4,48.7
Rio Dyer,676,Wales,6,39.4,30.0,13.0,12.9,0.0,2.0,9.0,0.0,3.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,True,3.0307692307692307,True,2.3255813953488373,12.9,2.6899224806201554,69.4,69.4,34.7
Henry Slade,131,England,7,0.0,12.6,13.7,12.9,0.0,1.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,False,0.0,True,0.9767441860465116,12.9,0.9767441860465116,12.6,12.6,12.6
Jac Morgan,339,Wales,10,50.6,31.4,12.4,12.8,0.0,2.0,25.0,3.0,0.0,75.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,True,4.080645161290323,True,2.4531249999999996,12.8,3.203125,82.0,82.0,41.0
Mako Vunipola,126,England,12,7.4,5.6,13.0,12.8,0.0,2.0,5.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,0.5692307692307692,True,0.43749999999999994,12.8,0.5078125,13.0,13.0,6.5
Iain Henderson,61,Ireland,11,7.6,11.5,12.9,12.8,0.0,2.0,7.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,True,0.5891472868217054,True,0.8984375,12.8,0.74609375,19.1,19.1,9.55
Finlay Bealham,290,Ireland,12,35.0,34.3,11.9,12.7,0.0,2.0,24.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,front-row,True,2.941176470588235,True,2.7007874015748032,12.7,2.7283464566929134,69.3,69.3,34.65
Zander Fagerson,93,Scotland,12,0.0,38.2,11.7,12.7,0.0,1.0,15.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,False,0.0,True,3.007874015748032,12.7,3.007874015748032,38.2,38.2,38.2
George North,1,Wales,7,15.6,19.2,13.2,12.7,0.0,2.0,6.0,1.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,True,1.1818181818181819,True,1.5118110236220472,12.7,1.3700787401574803,34.8,34.8,17.4
Paolo Garbisi,277,Italy,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fly-half,False,,False,,0.0,,0.0,0.0,
George Turner,188,Scotland,13,42.0,27.2,12.3,12.6,0.0,2.0,16.0,2.0,0.0,58.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,hooker,True,3.4146341463414633,True,2.1587301587301586,12.6,2.746031746031746,69.2,69.2,34.6
Ben Youngs,137,England,9,6.0,0.0,12.9,12.6,0.0,1.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scrum-half,True,0.46511627906976744,False,0.0,12.6,0.4761904761904762,6.0,6.0,6.0
Conor Murray,58,Ireland,9,30.8,10.8,13.2,12.6,0.0,2.0,4.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,scrum-half,True,2.3333333333333335,True,0.8571428571428572,12.6,1.650793650793651,41.6,41.6,20.8
Alun Wyn Jones,12,Wales,11,22.8,0.0,12.9,12.6,0.0,1.0,10.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,True,1.7674418604651163,False,0.0,12.6,1.8095238095238095,22.8,22.8,22.8
Louis Bielle-Biarrey,704,France,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,False,,False,,0.0,,0.0,0.0,
Emilien Gailleton,703,France,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,False,,False,,0.0,,0.0,0.0,
Cameron Redpath,348,Scotland,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,False,,False,,0.0,,0.0,0.0,
Pierre Schoeman,342,Scotland,12,26.6,25.4,12.4,12.4,0.0,2.0,27.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,2.1451612903225805,True,2.0483870967741935,12.4,2.096774193548387,52.0,52.0,26.0
Jack Willis,313,England,10,0.0,66.7,9.8,12.4,0.0,1.0,20.0,1.0,1.0,27.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,False,0.0,True,5.379032258064516,12.4,5.379032258064516,66.7,66.7,66.7
Richie Gray,296,Scotland,11,38.2,34.8,11.8,12.4,0.0,2.0,27.0,3.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,True,3.2372881355932206,True,2.8064516129032255,12.4,2.943548387096774,73.0,73.0,36.5
